tweet_id,retweet_count,favorite_count
831552930092285952,2214,8653
831322785565769729,1483,8955
831315979191906304,1060,6298
831309418084069378,2334,11356
831262627380748289,1951,11448
830956169170665475,1416,7692
830583320585068544,15851,64115
830173239259324417,5382,0
830097400375152640,2777,9386
829878982036299777,4746,0
829861396166877184,1836,11809
829501995190984704,10059,30591
829449946868879360,1912,10105
829141528400556032,6964,23464
829011960981237760,15561,51444
828801551087042563,3250,0
828770345708580865,5561,24663
828708714936930305,10639,35149
828650029636317184,1277,9179
828409743546925057,1105,6145
828408677031882754,1224,7421
828381636999917570,2121,12162
828376505180889089,1017,7132
828372645993398273,2783,12161
828361771580813312,169,2107
828046555563323392,2731,11325
828011680017821696,2048,10004
827933404142436356,4974,19319
827653905312006145,2875,14946
827600520311402496,886,7225
827324948884643840,2877,15293
827199976799354881,2116,10218
826958653328592898,4746,20825
826848821049180160,9628,34871
826615380357632002,3782,0
826598799820865537,235,4962
826598365270007810,2230,9666
826476773533745153,4000,17744
826240494070030336,2478,12821
826204788643753985,875,4714
826115272272650244,2954,15094
825876512159186944,1777,10135
825829644528148480,2394,12322
825535076884762624,16789,55198
825147591692263424,4309,17669
825120256414846976,1189,0
825026590719483904,1189,6046
824796380199809024,5250,0
824775126675836928,3345,14413
824663926340194305,1686,10157
824325613288833024,10143,11428
824297048279236611,3672,14549
824025158776213504,573,4682
823939628516474880,2601,10291
823719002937630720,10649,0
823699002998870016,2402,13518
823581115634085888,2502,12577
823333489516937216,22,681
823322678127919110,3825,15186
823269594223824897,9447,0
822975315408461824,3292,16768
822872901745569793,41107,127005
822859134160621569,2171,12783
822647212903690241,6110,0
822610361945911296,2804,14314
822489057087389700,6110,17523
822462944365645825,13559,26929
822244816520155136,9447,33823
822163064745328640,4521,0
821886076407029760,2201,10927
821813639212650496,3204,0
821765923262631936,1595,8123
821522889702862852,1667,7761
821421320206483457,5306,0
821407182352777218,4112,11347
821153421864615936,9,241
821149554670182400,1870,8315
821107785811234820,2036,9284
821044531881721856,2178,12258
820837357901512704,6417,0
820749716845686786,9450,30561
820690176645140481,3079,11839
820494788566847489,540,0
820446719150292993,2454,0
820314633777061888,540,3247
820078625395449857,5981,19136
820013781606658049,1120,0
819952236453363712,1120,5146
819924195358416896,4665,12532
819711362133872643,2968,12946
819588359383371776,1916,9363
819347104292290561,1151,6999
819238181065359361,391,2187
819227688460238848,6417,22288
819015337530290176,35478,0
819015331746349057,18242,0
819006400881917954,18241,43980
819004803107983360,35478,84543
818646164899774465,19999,0
818627210458333184,7246,21714
818614493328580609,2419,9528
818588835076603904,5837,0
818536468981415936,2339,10511
818307523543449600,7693,0
818259473185828864,2148,10659
818145370475810820,2437,11885
817908911860748288,759,4702
817827839487737858,25872,49814
817777686764523521,2577,10455
817536400337801217,2814,11402
817502432452313088,3236,0
817423860136083457,14010,32644
817415592588222464,914,5420
817181837579653120,8090,0
817171292965273600,1935,8493
817120970343411712,2489,11808
817056546584727552,1575,8332
816829038950027264,4508,0
816816676327063552,1946,9703
816697700272001025,2102,9477
816450570814898180,7693,29393
816336735214911488,1856,8347
816091915477250048,2044,8668
816062466425819140,973,0
816014286006976512,5027,0
815990720817401858,973,4790
815966073409433600,8090,21682
815745968457060357,3966,0
815736392542261248,2176,9550
815639385530101762,1585,7985
815390420867969024,3662,10047
814986499976527872,1220,7425
814638523311648768,2588,10955
814578408554463233,5611,0
814530161257443328,1779,8374
814153002265309185,8315,27914
813944609378369540,3049,0
813910438903693312,1785,9047
813812741911748608,13409,35390
813800681631023104,1694,8078
813217897535406080,7013,18083
813202720496779264,1751,8982
813187593374461952,4173,19289
813172488309972993,1851,9014
813157409116065792,2109,7542
813142292504645637,2301,8266
813130366689148928,429,4370
813127251579564032,2992,11475
813112105746448384,2631,10014
813096984823349248,3481,10267
813081950185472002,2668,9630
813066809284972545,1881,7714
813051746834595840,7053,20387
812781120811126785,1827,7321
812709060537683968,1386,6453
812503143955202048,1179,5891
812466873996607488,1842,7754
